UniProtKBID	EntrezGeneID	GeneSymbol	Domain	ProteinFamilies
P42696	23029	RBM34	RRM 1;RRM 2	RRM RBM34 family
O94953	23030	KDM4B	JmjN;JmjC;Tudor 1;Tudor 2	JHDM3 histone demethylase family
O60307	23031	MAST3	Protein kinase;AGC-kinase C-terminal;PDZ	Protein kinase superfamily, AGC Ser/Thr protein kinase family
Q8TEY7	23032	UBP33	USP;DUSP 1;DUSP 2	Peptidase C19 family, USP20/USP33 subfamily
Q5JWR5	23033	DOP1		Dopey family
Q9UPU9	23034	SMAG1	SAM	SMAUG family
Q6ZVD8	23035	PHLP2	PH;PPM-type phosphatase	
O60281	23036	ZN292		Krueppel C2H2-type zinc-finger protein family
O15018	23037	PDZD2	PDZ 1;PDZ 2;PDZ 3;PDZ 4;PDZ 5;PDZ 6	
Q8N5D0	23038	WDTC1		
Q9UIA9	23039	XPO7	Importin N-terminal	Exportin family
Q9UL68	23040	MYT1L		MYT1 family
Q7Z3U7	23041	MON2		MON2 family
Q6P996	23042	PDXD1		Group II decarboxylase family
Q9UKE5	23043	TNIK	Protein kinase;CNH	Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily
O75037	23046	KI21B	Kinesin motor	TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family
Q9NTI5	23047	PDS5B		PDS5 family
Q96RU3	23048	FNBP1	F-BAR;REM-1;SH3	FNBP1 family
Q96Q15	23049	SMG1	FAT;PI3K/PI4K;FATC	PI3/PI4-kinase family
Q9H4I2	23051	ZHX3		ZHX family
O94919	23052	ENDD1		DNA/RNA non-specific endonuclease family
A7E2V4	23053	ZSWM8		
Q14686	23054	NCOA6		
Q9BZQ4	23057	NMNA2		Eukaryotic NMN adenylyltransferase family
Q96AJ1	23059	CLUA1		CLUAP1 family
O15014	23060	ZN609		
Q66K14	23061	TBC9B	GRAM 1;GRAM 2;Rab-GAP TBC;EF-hand	
Q9UJY4	23062	GGA2	VHS;GAT;GAE	GGA protein family
Q7Z5K2	23063	WAPL	WAPL	WAPL family
Q7Z333	23064	SETX		DNA2/NAM7 helicase family
Q8N766	23065	EMC1		EMC1 family
O75155	23066	CAND2		CAND family
Q9UPS6	23067	SET1B	RRM;SET;Post-SET	Class V-like SAM-binding methyltransferase superfamily
Q8N1G2	23070	CMTR1	G-patch;RrmJ-type SAM-dependent 2'-O-MTase;WW	
Q9BS26	23071	ERP44	Thioredoxin	
Q76N89	23072	HECW1	C2;WW 1;WW 2;HECT	
A0JNW5	23074	UH1BL		
Q9UH65	23075	SWP70	PH	
Q14684	23076	RRP1B		RRP1 family
O75592	23077	MYCB2	DOC	RING-Cys relay (RCR) family
A3KMH1	23078	VWA8	VWFA	
Q8NBF6	23080	AVL9	uDENN;cDENN;dDENN	AVL9 family
Q9H3R0	23081	KDM4C	JmjN;JmjC;Tudor 1;Tudor 2	JHDM3 histone demethylase family
Q5VV67	23082	PPRC1	RRM	
Q8IUD2	23085	RB6I2	FIP-RBD	
Q8NEV8	23086	EXPH5	RabBD	
Q9UPQ4	23087	TRI35	B30.2/SPRY	TRIM/RBCC family
Q86TG7	23089	PEG10		
Q2M1K9	23090	ZN423		Krueppel C2H2-type zinc-finger protein family
Q5T200	23091	ZC3HD		ZC3H13 family
Q9UNA1	23092	RHG26	PH;Rho-GAP;SH3	
Q6EMB2	23093	TTLL5	TTL	Tubulin--tyrosine ligase family
O60292	23094	SI1L3	Rap-GAP;PDZ	
O60333	23095	KIF1B	Kinesin motor;FHA;PH	TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family, Unc-104 subfamily
Q9BWU1	23097	CDK19	Protein kinase	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily
Q6SZW1	23098	SARM1	SAM 1;SAM 2;TIR	SARM1 family
O43298	23099	ZBT43	BTB	Krueppel C2H2-type zinc-finger protein family
Q86YR7	23101	MF2L2	CRAL-TRIO;DH;PH	MCF2 family
Q9UPU7	23102	TBD2B	PH;Rab-GAP TBC	
Q6MZW2	23105	FSTL4	Kazal-like;EF-hand;Ig-like 1;Ig-like 2	
Q92552	23107	RT27		Mitochondrion-specific ribosomal protein mS27 family
Q684P5	23108	RPGP2	Rap-GAP	
O94850	23109	DEND		
Q8N0X7	23111	SPART	MIT;Senescence	
Q9UPQ9	23112	TNR6B	RRM	GW182 family
Q8IWT3	23113	CUL9	DOC	Cullin family
O94856	23114	NFASC	Ig-like C2-type 1;Ig-like C2-type 2;Ig-like C2-type 3;Ig-like C2-type 4;Ig-like C2-type 5;Ig-like C2-type 6;Fibronectin type-III 1;Fibronectin type-III 2;Fibronectin type-III 3;Fibronectin type-III 4;Fibronectin type-III 5	Immunoglobulin superfamily, L1/neurofascin/NgCAM family
Q9Y4F4	23116	TGRM1		Crescerin family
Q9NYJ8	23118	TAB2	CUE	
Q96JB3	23119	HIC2	BTB	Krueppel C2H2-type zinc-finger protein family, Hic subfamily
O75122	23122	CLAP2		CLASP family
O94983	23125	CMTA2	IPT/TIG;IQ 1;IQ 2	CAMTA family
Q7Z3K3	23126	POGZ	HTH CENPB-type;DDE-1	
Q8IYK4	23127	GT252		Glycosyltransferase 25 family
Q9Y4D7	23129	PLXD1	Sema;IPT/TIG 1;IPT/TIG 2;IPT/TIG 3	Plexin family
Q2TAZ0	23130	ATG2A		ATG2 family
Q9UKJ3	23131	GPTC8	G-patch	
Q9Y4B4	23132	ARIP4	Helicase ATP-binding;Helicase C-terminal	SNF2/RAD54 helicase family
Q9UPP1	23133	PHF8	JmjC	JHDM1 histone demethylase family, JHDM1D subfamily
O15054	23135	KDM6B	JmjC	UTX family
Q9Y2J2	23136	E41L3	FERM	
Q8IY18	23137	SMC5		SMC family, SMC5 subfamily
O15049	23138	N4BP3		N4BP3 family
Q6P0Q8	23139	MAST2	Protein kinase;AGC-kinase C-terminal;PDZ	Protein kinase superfamily, AGC Ser/Thr protein kinase family
O43149	23140	ZZEF1	EF-hand;DOC	
Q86XL3	23141	ANKL2	LEM	ANKLE2 family
Q92564	23142	DCNL4	DCUN1	
Q9Y2L9	23143	LRCH1	Calponin-homology (CH)	
Q8IXZ2	23144	ZC3H3		
O15069	23148	NACAD	NAC-A/B	NAC-alpha family
O14526	23149	FCHO1	F-BAR;MHD	FCHO family
Q9Y2L6	23150	FRM4B	FERM	
Q6IC98	23151	GRAM4	GRAM	
Q96RK0	23152	CIC		
Q9UBB6	23154	NCDN		Neurochondrin family
Q96S66	23155	CLCC1		Chloride channel MCLC family
Q14141	23157	SEPT6	Septin-type G	TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily, Septin GTPase family
Q6ZT07	23158	TBCD9	GRAM 1;GRAM 2;Rab-GAP TBC;EF-hand	
Q15061	23160	WDR43		UTP5 family
Q9Y5W8	23161	SNX13	PXA;RGS;PX	Sorting nexin family
Q9UPT6	23162	JIP3	RH1;RH2	JIP scaffold family
Q9NZ52	23163	GGA3	VHS;GAT;GAE	GGA protein family
Q6WCQ1	23164	MPRIP	PH 1;PH 2	
Q92621	23165	NU205		NUP186/NUP192/NUP205 family
Q9NY15	23166	STAB1	EGF-like 1;EGF-like 2;EGF-like 3;EGF-like 4;FAS1 1;FAS1 2;EGF-like 5;EGF-like 6;EGF-like 7;EGF-like 8;EGF-like 9;FAS1 3;FAS1 4;Laminin EGF-like 1;EGF-like 10;EGF-like 11;EGF-like 12;EGF-like 13;FAS1 5;FAS1 6;Laminin EGF-like 2;EGF-like 14;EGF-like 15;EGF-like 16;Link;FAS1 7	
Q14156	23167	EFR3A		EFR3 family
Q92541	23168	RTF1	Plus3	
Q9NTN3	23169	S35D1		TPT transporter family, SLC35D subfamily
Q14166	23170	TTL12	TTL	Tubulin--tyrosine ligase family
Q8N335	23171	GPD1L		NAD-dependent glycerol-3-phosphate dehydrogenase family
Q15018	23172	ABRX2	MPN	FAM175 family, Abro1 subfamily
P53582	23173	MAP11		Peptidase M24A family, Methionine aminopeptidase type 1 subfamily
Q8WYQ9	23174	ZCH14		
Q14693	23175	LPIN1		Lipin family
Q92599	23176	SEPT8	Septin-type G	TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily, Septin GTPase family
Q76N32	23177	CEP68		
Q96RG2	23178	PASK	PAS 1;PAS 2;Protein kinase	Protein kinase superfamily, CAMK Ser/Thr protein kinase family
Q9NZL6	23179	RGL1	N-terminal Ras-GEF;Ras-GEF;Ras-associating	
Q14699	23180	RFTN1		Raftlin family
Q14689	23181	DIP2A	DMAP1-binding	DIP2 family
Q14696	23184	MESD		MESD family
Q92615	23185	LAR4B	HTH La-type RNA-binding;RRM	
Q9UKL0	23186	RCOR1	ELM2;SANT 1;SANT 2	CoREST family
Q86UU1	23187	PHLB1	FHA;PH	
Q14678	23189	KANK1		
Q92575	23190	UBXN4	UBX	
Q7L576	23191	CYFP1		CYFIP family
Q9Y4P1	23192	ATG4B		Peptidase C54 family
Q14697	23193	GANAB		Glycosyl hydrolase 31 family
Q9UJT9	23194	FBXL7	F-box	FBXL7 family
Q9NU22	23195	MDN1	VWFA	Midasin family
Q9NZB2	23196	F120A		Constitutive coactivator of PPAR-gamma family
Q96CS3	23197	FAF2	UBA;UBX	
Q14997	23198	PSME4		BLM10 family
Q14687	23199	GSE1		
Q9Y2G3	23200	AT11B		Cation transport ATPase (P-type) (TC 3.A.3) family, Type IV subfamily
Q92567	23201	F168A		FAM168 family
Q10713	23203	MPPA		Peptidase M16 family
Q15041	23204	AR6P1		ARL6ip family
Q96GR2	23205	ACBG1		ATP-dependent AMP-binding enzyme family, Bubblegum subfamily
Q8IWE5	23207	PKHM2	RUN;PH	
Q9BT88	23208	SYT11	C2 1;C2 2	Synaptotagmin family
Q15049	23209	MLC1		
Q6NYC1	23210	JMJD6	JmjC	JMJD6 family
Q9UPT8	23211	ZC3H4		
Q15050	23212	RRS1		RRS1 family
Q8IWU6	23213	SULF1		Sulfatase family
Q96QU8	23214	XPO6	Importin N-terminal	Exportin family
Q9Y520	23215	PRC2C		
Q86TI0	23216	TBCD1	PID;Rab-GAP TBC	
Q6ZNJ1	23218	NBEL2	BEACH-type PH;BEACH	WD repeat neurobeachin family
Q9NVF7	23219	FBX28	F-box	
Q9Y2E6	23220	DTX4	WWE 1;WWE 2	Deltex family
Q9BYZ6	23221	RHBT2	BTB 1;BTB 2	Small GTPase superfamily, Rho family
Q5JTH9	23223	RRP12		RRP12 family
Q8WXH0	23224	SYNE2	Calponin-homology (CH) 1;Calponin-homology (CH) 2;KASH	Nesprin family
Q8TEM1	23225	PO210	BIG2	NUP210 family
Q9UPR0	23228	PLCL2	PH;PI-PLC X-box;PI-PLC Y-box;C2	
O43307	23229	ARHG9	SH3;DH;PH	
Q96RL7	23230	VP13A		VPS13 family
Q68CR1	23231	SE1L3		
Q9Y2D4	23233	EXC6B		SEC15 family
Q8WXX5	23234	DNJC9	J	
Q9H0K1	23235	SIK2	Protein kinase;UBA	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily
Q9NQ66	23236	PLCB1	PI-PLC X-box;PI-PLC Y-box;C2	
Q7LC44	23237	ARC		ARC/ARG3.1 family
O60346	23239	PHLP1	PH;PPM-type phosphatase	
A2VDJ0	23240	T131L		TMEM131 family
Q86VP3	23241	PACS2		PACS family
O75128	23242	COBL	WH2 1;WH2 2;WH2 3	
O15084	23243	ANR28		
Q29RF7	23244	PDS5A		PDS5 family
O75129	23245	ASTN2	EGF-like 1;EGF-like 2;EGF-like 3;Fibronectin type-III	Astrotactin family
Q14137	23246	BOP1		WD repeat BOP1/ERB1 family
O60303	23247	K0556		
Q5VT52	23248	RPRD2	CID	
P98196	23250	AT11A		Cation transport ATPase (P-type) (TC 3.A.3) family, Type IV subfamily
Q5T2D3	23252	OTUD3	OTU;UBA-like	
Q6UB98	23253	ANR12		
Q674X7	23254	KAZRN	SAM 1;SAM 2;SAM 3	Kazrin family
Q9Y4B5	23255	MTCL1		SOGA family
Q8WVM8	23256	SCFD1		STXBP/unc-18/SEC1 family
Q6IQ26	23258	DEN5A	uDENN;cDENN;dDENN;RUN 1;PLAT;RUN 2	RAB6IP1 family
O94830	23259	DDHD2	WWE;SAM;DDHD	PA-PLA1 family
Q9Y6Y1	23261	CMTA1	IPT/TIG;IQ 1;IQ 2;IQ 3	CAMTA family
O43314	23262	VIP2		Histidine acid phosphatase family, VIP1 subfamily
O15068	23263	MCF2L	CRAL-TRIO;DH;PH;SH3	MCF2 family
Q9UGR2	23264	Z3H7B		
Q9UPT5	23265	EXOC7		EXO70 family
O95490	23266	AGRL2	SUEL-type lectin;Olfactomedin-like;GPS	G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily
Q6XZF7	23268	DNMBP	SH3 1;SH3 2;SH3 3;SH3 4;DH;BAR;SH3 5;SH3 6	
Q8IWI9	23269	MGAP	bHLH	
Q9UJ04	23270	TSYL4		Nucleosome assembly protein (NAP) family
Q08AD1	23271	CAMP2	Calponin-homology (CH);CKK	CAMSAP1 family
Q9UK61	23272	TASOR		TASOR family
Q2KHT3	23274	CL16A	FPL	CLEC16A/gop-1 family
Q9Y2G5	23275	OFUT2		Glycosyltransferase 68 family
O94889	23276	KLH18	BTB;BACK	
O75153	23277	CLU	Clu	CLU family
Q12769	23279	NU160		
Q5JR59	23281	MTUS2		MTUS1 family
Q9H0L4	23283	CSTFT	RRM	
Q9HAR2	23284	AGRL3	SUEL-type lectin;Olfactomedin-like;GPS	G-protein coupled receptor 2 family, LN-TM7 subfamily
Q8IX03	23286	KIBRA	WW 1;WW 2;C2	WWC family, KIBRA subfamily
Q9UPW5	23287	CBPC1		Peptidase M14 family
Q6IPM2	23288	IQCE	IQ 1;IQ 2	
Q9UKB1	23291	FBW1B	F-box	
Q86US8	23293	EST1A	PINc	
Q92625	23294	ANS1A	SAM 1;SAM 2;PID	
O60291	23295	MGRN1		
Q8TD16	23299	BICD2		BicD family
O43313	23300	ATMIN		
Q8NDI1	23301	EHBP1	C2 NT-type;Calponin-homology (CH);bMERB	
Q9NQT8	23303	KI13B	Kinesin motor;FHA;CAP-Gly	TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family
Q8IWV8	23304	UBR2		UBR1 family
Q9UKU0	23305	ACSL6		ATP-dependent AMP-binding enzyme family
O14524	23306	NEMP1		NEMP family
Q5T1M5	23307	FKB15	PPIase FKBP-type	FKBP-type PPIase family
O75144	23308	ICOSL	Ig-like V-type;Ig-like C2-type	Immunoglobulin superfamily, BTN/MOG family
O75182	23309	SIN3B	PAH 1;PAH 2;PAH 3	
P42695	23310	CNDD3		
Q8TDJ6	23312	DMXL2		
Q6ICG6	23313	K0930		
Q9UPW6	23314	SATB2		CUT homeobox family
Q9Y2E8	23315	SL9A8		Monovalent cation:proton antiporter 1 (CPA1) transporter (TC 2.A.36) family
O14529	23316	CUX2		CUT homeobox family
O75165	23317	DJC13	J	
Q5TAX3	23318	TUT4	PAP-associated 1;PAP-associated 2	DNA polymerase type-B-like family
Q9C040	23321	TRIM2		TRIM/RBCC family
Q68CZ1	23322	FTM	C2 1;C2 2	RPGRIP1 family
Q9Y2E5	23324	MA2B2		Glycosyl hydrolase 38 family
Q2M389	23325	WASC4		SWIP family
Q9UPT9	23326	UBP22	USP	Peptidase C19 family, UBP8 subfamily
Q96PU5	23327	NED4L	C2;WW 1;WW 2;WW 3;WW 4;HECT	
O94885	23328	SASH1	SH3;SAM 1;SAM 2	
Q9Y2I9	23329	TBC30	Rab-GAP TBC	
Q96AY4	23331	TTC28		
Q7Z460	23332	CLAP1		CLASP family
Q2PZI1	23333	D19L1		Dpy-19 family
Q5T011	23334	SZT2		
Q9Y4E6	23335	WDR7		
O15061	23336	SYNEM	IF rod	Intermediate filament family
Q9NQC1	23338	JADE2		JADE family
Q96JC1	23339	VPS39	CNH	VAM6/VPS39 family
Q9Y2G8	23341	DJC16	J;Thioredoxin	
Q9BSJ8	23344	ESYT1	SMP-LTD;C2 1;C2 2;C2 3;C2 4;C2 5	Extended synaptotagmin family
Q8NF91	23345	SYNE1	Calponin-homology (CH) 1;Calponin-homology (CH) 2;KASH	Nesprin family
A6NHR9	23347	SMHD1	SMC hinge	SMC family
Q9BZ29	23348	DOCK9	PH;C2 DOCK-type;DOCKER	DOCK family
O15042	23350	SR140	RRM;CID	Splicing factor SR family
O15037	23351	KHNYN		N4BP1 family
Q5T4S7	23352	UBR4		UBR4 family
O94901	23353	SUN1	SUN	
O94927	23354	HAUS5		HAUS5 family
Q8N3P4	23355	VPS8		VPS8 family
Q9UNK9	23357	ANGE1		CCR4/nocturin family
Q9UPU5	23358	UBP24	UBA;USP	Peptidase C19 family
O60320	23359	F1891		FAM189 family
Q8N3X1	23360	FNBP4	WW 1;WW 2	
Q9UEG4	23361	ZN629		Krueppel C2H2-type zinc-finger protein family
Q9NYI0	23362	PSD3	SEC7;PH	
O75147	23363	OBSL1	Ig-like 1;Ig-like 2;Ig-like 3;Ig-like 4;Fibronectin type-III;Ig-like 5;Ig-like 6;Ig-like 7;Ig-like 8;Ig-like 9;Ig-like 10;Ig-like 11;Ig-like 12;Ig-like 13;Ig-like 14	
Q9NZN5	23365	ARHGC	PDZ;RGSL;DH;PH	
Q6PKG0	23367	LARP1	HTH La-type RNA-binding	LARP family
Q96KQ4	23368	ASPP1	SH3	ASPP family
Q8TB72	23369	PUM2	PUM-HD	
Q6ZSZ5	23370	ARHGI	DH;PH	
Q63HR2	23371	TNS2	Phosphatase tensin-type;C2 tensin-type;SH2	PTEN phosphatase protein family
Q6UUV9	23373	CRTC1		TORC family
O94874	23376	UFL1		UFL1 family
O43159	23378	RRP8		Methyltransferase superfamily, RRP8 family
Q9Y2F5	23379	ICE1		ICE1 family
O75044	23380	SRGP2	F-BAR;Rho-GAP;SH3	
Q9UPR3	23381	SMG5	PINc	
Q96HN2	23382	SAHH3		Adenosylhomocysteinase family
Q9Y6X3	23383	SCC4		SCC4/mau-2 family
Q69YQ0	23384	CYTSA	Calponin-homology (CH)	Cytospin-A family
Q92542	23385	NICA		Nicastrin family
Q8IVD9	23386	NUDC3	CS	
Q9Y2K2	23387	SIK3	Protein kinase;UBA	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily
Q71F56	23389	MD13L		Mediator complex subunit 13 family
Q8IUH5	23390	ZDH17	DHHC	DHHC palmitoyltransferase family, AKR/ZDHHC17 subfamily
Q9H2P0	23394	ADNP		
O60331	23396	PI51C	PIPK	
Q15003	23397	CND2		CND2 (condensin subunit 2) family
Q96BP3	23398	PPWD1	PPIase cyclophilin-type	Cyclophilin-type PPIase family, PPIL1 subfamily
O95476	23399	CNEP1	FCP1 homology	Dullard family
Q9NQ11	23400	AT132		Cation transport ATPase (P-type) (TC 3.A.3) family, Type V subfamily
O75474	23401	FRAT2		GSK-3-binding protein family
Q6PJ61	23403	FBX46	F-box	
Q13868	23404	EXOS2	S1 motif	RRP4 family
Q9UPY3	23405	DICER	Helicase ATP-binding;Helicase C-terminal;Dicer dsRNA-binding fold;PAZ;RNase III 1;RNase III 2;DRBM	Helicase family, Dicer subfamily
Q14019	23406	COTL1	ADF-H	Actin-binding proteins ADF family, Coactosin subfamily
Q9NXA8	23408	SIR5	Deacetylase sirtuin-type	Sirtuin family, Class III subfamily
Q9Y6E7	23409	SIR4	Deacetylase sirtuin-type	Sirtuin family, Class II subfamily
Q9NTG7	23410	SIR3	Deacetylase sirtuin-type	Sirtuin family, Class I subfamily
Q96EB6	23411	SIR1	Deacetylase sirtuin-type	Sirtuin family, Class I subfamily
Q9UBI1	23412	COMD3	COMM	
P62166	23413	NCS1	EF-hand 1;EF-hand 2;EF-hand 3;EF-hand 4	Recoverin family
Q8WW38	23414	FOG2		FOG (Friend of GATA) family
Q9ULD8	23416	KCNH3	PAS;PAC	Potassium channel family, H (Eag) (TC 1.A.1.20) subfamily, Kv12.2/KCNH3 sub-subfamily
O95822	23417	DCMC		
P82279	23418	CRUM1	EGF-like 1;EGF-like 2;EGF-like 3;EGF-like ;EGF-like ;EGF-like ;EGF-like ;EGF-like 8;EGF-like 9;EGF-like 1;EGF-like 11;Laminin G-like 1;EGF-like 12;Laminin G-like 2;EGF-like 13;EGF-like 14;Laminin G-like 3;EGF-like 15;EGF-like 1;EGF-like 17;EGF-like 18;EGF-like 1	Crumbs protein family
Q15155	23420	NOMO1		
Q13352	23421	CENPR		
Q9Y3Q3	23423	TMED3	GOLD	EMP24/GP25L family
Q8NHU6	23424	TDRD7	HTH OST-type 1;HTH OST-type 2;HTH OST-type 3;Tudor 1;Tudor 2	TDRD7 family
Q9Y3R0	23426	GRIP1	PDZ 1;PDZ 2;PDZ 3;PDZ 4;PDZ 5;PDZ 6;PDZ 7	
Q9UHI5	23428	LAT2		Amino acid-polyamine-organocation (APC) superfamily, L-type amino acid transporter (LAT) (TC 2.A.3.8) family
Q8N488	23429	RYBP		
Q9UPM8	23431	AP4E1		Adaptor complexes large subunit family
Q8N6U8	23432	GP161		G-protein coupled receptor 1 family
P17081	23433	RHOQ		Small GTPase superfamily, Rho family
Q13148	23435	TADBP	RRM 1;RRM 2	
P49590	23438	SYHM		Class-II aminoacyl-tRNA synthetase family
Q9Y2D2	23443	S35A3		Nucleotide-sugar transporter family, SLC35A subfamily
Q8WWI5	23446	CTL1		CTL (choline transporter-like) family
Q15393	23450	SF3B3		RSE1 family
O75533	23451	SF3B1		SF3B1 family
Q9NRK6	23456	ABCBA	ABC transmembrane type-1;ABC transporter	ABC transporter superfamily, ABCB family, Mitochondrial peptide exporter (TC 3.A.1.212) subfamily
Q9NP78	23457	ABCB9	ABC transmembrane type-1;ABC transporter	ABC transporter superfamily, ABCB family, MHC peptide exporter (TC 3.A.1.209) subfamily
Q8N139	23460	ABCA6	ABC transporter 1;ABC transporter 2	ABC transporter superfamily, ABCA family
Q8WWZ7	23461	ABCA5	ABC transporter 1;ABC transporter 2	ABC transporter superfamily, ABCA family
Q9Y5J3	23462	HEY1	bHLH;Orange	HEY family
O60725	23463	ICMT		Class VI-like SAM-binding methyltransferase superfamily, Isoprenylcysteine carboxyl methyltransferase family
O75600	23464	KBL		Class-II pyridoxal-phosphate-dependent aminotransferase family
O95503	23466	CBX6	Chromo	
O95502	23467	NPTXR	Pentraxin (PTX)	
P45973	23468	CBX5	Chromo 1;Chromo	
Q92576	23469	PHF3	TFIIS central	
Q15629	23471	TRAM1	TLC	TRAM family
Q9Y6W3	23473	CAN7	Calpain catalytic	Peptidase C2 family
O95571	23474	ETHE1		Metallo-beta-lactamase superfamily, Glyoxalase II family
Q15274	23475	NADC		NadC/ModD family
O60885	23476	BRD4	Bromo 1;Bromo 2;NET	
P67812	23478	SC11A		Peptidase S26B family
Q9H1K1	23479	ISCU		NifU family
P60059	23480	SC61G		SecE/SEC61-gamma family
O00541	23481	PESC	BRCT	Pescadillo family
O95455	23483	TGDS		NAD(P)-dependent epimerase/dehydratase family, dTDP-glucose dehydratase subfamily
O95214	23484	LERL1		OB-RGRP/VPS55 family
Q6UWW8	23491	EST3		Type-B carboxylesterase/lipase family
O95931	23492	CBX7	Chromo	
Q9UBP5	23493	HEY2	bHLH;Orange	HEY family
O14836	23495	TR13B		
P46952	23498	3HAO		3-HAO family
Q9UPN3	23499	MACF1	Calponin-homology (CH) 1;Calponin-homology (CH) 2;SH3;EF-hand 1;EF-hand 2;GAR	Plakin or cytolinker family
Q86T65	23500	DAAM2	GBD/FH3;FH1;FH2;DAD	Formin homology family
Q68DK2	23503	ZFY26		
O15034	23504	RIMB2	SH3 1;Fibronectin type-III 1;Fibronectin type-III 2;Fibronectin type-III 3;SH3 2;SH3 3	RIMBP family
Q92545	23505	TM131		TMEM131 family
Q6AI39	23506	BICRL		
Q9H488	23509	OFUT1		Glycosyltransferase 65 family
Q14681	23510	KCTD2	BTB	
Q5SRE5	23511	NU188		
Q15022	23512	SUZ12		VEFS (VRN2-EMF2-FIS2-SU(Z)12) family
Q14160	23513	SCRIB	PDZ 1;PDZ 2;PDZ 3;PDZ 4	LAP (LRR and PDZ) protein family
Q14149	23515	MORC3		
Q15043	23516	S39AE		ZIP transporter (TC 2.A.5) family
P42285	23517	MTREX	Helicase ATP-binding;Helicase C-terminal	Helicase family, SKI2 subfamily
Q15032	23518	R3HD1	R3H;SUZ	
O95626	23519	AN32D		ANP32 family
O43423	23520	AN32C		ANP32 family
P40429	23521	RL13A		Universal ribosomal protein uL13 family
Q8WYB5	23522	KAT6B	H15;MYST-type HAT	MYST (SAS/MOZ) family
Q9Y6J0	23523	CABIN		
Q9UQ35	23524	SRRM2		CWC21 family
Q92619	23526	HMHA1	F-BAR;Rho-GAP	
Q15057	23527	ACAP2	BAR;PH;Arf-GAP	
Q9Y2X9	23528	ZN281		Krueppel C2H2-type zinc-finger protein family
Q9UBD9	23529	CLCF1		IL-6 superfamily
Q13423	23530	NNTM		AlaDH/PNT family; PNT beta subunit family
P78395	23532	PRAME		PRAME family
Q8WYR1	23533	PI3R5		
Q9Y5L0	23534	TNPO3		
Q9BUB4	23536	ADAT1	A to I editase	ADAT1 family
Q9UKL2	23538	O52A1		G-protein coupled receptor 1 family
O95907	23539	MOT3		Major facilitator superfamily, Monocarboxylate porter (TC 2.A.1.13) family
O76054	23541	S14L2	CRAL-TRIO;GOLD	
Q13387	23542	JIP2	SH3;PID	JIP scaffold family
O43251	23543	RFOX2	RRM	
Q9Y487	23545	VPP2		V-ATPase 116 kDa subunit family
O95473	23546	SNG4	MARVEL	Synaptogyrin family
Q6PID6	23548	TTC33		
Q9ULA0	23549	DNPEP		Peptidase M18 family
Q8NDX1	23550	PSD4	SEC7;PH	
Q96D21	23551	RHES		Small GTPase superfamily, RasD family
Q8IZL9	23552	CDK20	Protein kinase	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily
O95859	23554	TSN12		Tetraspanin (TM4SF) family
O95858	23555	TSN15		Tetraspanin (TM4SF) family
O95427	23556	PIGN		PIGG/PIGN/PIGO family, PIGN subfamily
O95295	23557	SNAPN		SNAPIN family
Q969T9	23558	WBP2	GRAM	
Q96G27	23559	WBP1		
Q9BZE4	23560	NOG1	OBG-type G	TRAFAC class OBG-HflX-like GTPase superfamily, OBG GTPase family, NOG subfamily
O95865	23564	DDAH2		DDAH family
Q9UBY5	23566	LPAR3		G-protein coupled receptor 1 family
Q9UL40	23567	ZN346		
Q9Y2Y0	23568	AR2BP		ARL2BP family
Q9UM07	23569	PADI4		Protein arginine deiminase family
O94760	23576	DDAH1		DDAH family
Q9H3Q1	23580	BORG4	CRIB	BORG/CEP family
P31944	23581	CASPE		Peptidase C14A family
O95273	23582	CCDB1		CCNDBP1 family
Q53HV7	23583	SMUG1		Uracil-DNA glycosylase (UDG) superfamily, SMUG1 family
O95807	23585	TM50A		UPF0220 family
O95786	23586	DDX58	CARD 1;CARD 2;Helicase ATP-binding;Helicase C-terminal;RLR CTR	Helicase family, RLR subfamily
Q8TE02	23587	ELP5		ELP5 family
Q9Y2U9	23588	KLDC2		
Q9Y2V2	23589	CHSP1	CSD	
Q5T2R2	23590	DPS1		FPP/GGPP synthase family
Q9Y2U8	23592	MAN1	LEM	
Q9Y5Z4	23593	HEBP2		HEBP family
Q9Y5N6	23594	ORC6		ORC6 family
Q9UBD5	23595	ORC3		ORC3 family
Q9Y305	23597	ACOT9	HotDog ACOT-type 1;HotDog ACOT-type 2	Acyl coenzyme A hydrolase family
Q9HBE1	23598	PATZ1	BTB	Krueppel C2H2-type zinc-finger protein family
Q9UHK6	23600	AMACR		CoA-transferase III family
Q9NY25	23601	CLC5A	C-type lectin	
Q9ULV4	23603	COR1C		WD repeat coronin family
